recommendation_id,user_id,movie_id,recommendation_date,recommendation_type,recommendation_score,was_clicked,position_in_list,device_type,time_of_day,algorithm_version
rec_000036,user_01418,movie_0505,2024-12-23,similar_users,0.456,False,2,Smart TV,night,v1.4
rec_000037,user_05357,movie_0461,2024-10-16,similar_users,0.297,False,10,Tablet,night,v1.4
rec_000038,user_01533,movie_0077,2024-05-11,personalized,0.517,False,15,Smart TV,afternoon,v2.0
rec_000039,user_03034,movie_0574,2024-10-17,personalized,0.401,False,3,Smart TV,night,v1.3
rec_000040,user_09111,movie_0008,2025-02-16,similar_users,0.609,True,20,Mobile,afternoon,v1.3
rec_000041,user_07438,movie_0006,2024-06-04,similar_users,0.742,False,19,Tablet,night,v1.2
rec_000042,user_08573,movie_0391,2025-12-14,genre_based,0.396,False,2,Mobile,morning,v1.4
rec_000043,user_06750,movie_0477,2025-09-01,trending,0.12,False,12,Smart TV,afternoon,v1.3
rec_000044,user_04205,movie_0820,2025-02-03,similar_users,0.458,False,8,Mobile,morning,v1.2
rec_000045,user_03475,movie_0877,2024-03-01,genre_based,0.918,False,1,Mobile,evening,v1.4
rec_000046,user_08399,movie_0268,2024-06-18,new_releases,0.778,True,9,Smart TV,night,v1.3
rec_000047,user_05979,movie_0050,2024-06-19,new_releases,,False,6,Laptop,evening,v2.0
rec_000048,user_00903,movie_0677,2025-12-07,trending,0.99,False,20,Smart TV,evening,v1.3
rec_000049,user_06636,movie_0394,2024-05-04,trending,0.165,False,16,Tablet,night,v1.3
rec_000050,user_03822,movie_0162,2025-02-08,trending,0.806,False,10,Mobile,afternoon,v2.0
rec_000051,user_07611,movie_0951,2024-12-11,trending,0.79,False,12,Tablet,evening,v2.0
rec_000052,user_08518,movie_0248,2025-11-29,similar_users,0.406,False,8,Laptop,evening,v2.0
rec_000053,user_01320,movie_0146,2024-06-06,genre_based,0.857,False,20,Smart TV,afternoon,v2.0
rec_000054,user_08822,movie_0043,2025-09-14,genre_based,0.54,True,16,Laptop,afternoon,v1.4
rec_000055,user_03772,movie_0587,2024-12-17,new_releases,0.14,False,9,Mobile,morning,v1.4
rec_000056,user_03698,movie_0342,2025-11-14,trending,0.781,False,10,Laptop,morning,v1.4
rec_000057,user_00289,movie_0619,2025-02-06,trending,0.7,False,2,Smart TV,afternoon,v1.3
rec_000058,user_09102,movie_0502,2024-05-05,similar_users,0.58,False,9,Tablet,night,
rec_000059,user_09654,movie_0693,2025-08-20,new_releases,0.256,False,15,Laptop,afternoon,v1.2
rec_000060,user_03401,movie_0047,2025-05-31,new_releases,,False,20,Smart TV,night,v2.0
rec_000061,user_02335,movie_0854,2024-01-26,similar_users,0.956,False,13,Smart TV,evening,v1.2
rec_000062,user_09065,movie_1000,2024-06-18,trending,0.859,False,19,Tablet,evening,v1.2
rec_000063,user_03632,movie_0060,2024-09-24,similar_users,0.225,False,16,Laptop,evening,v1.3
rec_000064,user_09142,movie_0569,2025-04-28,trending,0.83,False,13,Mobile,morning,v2.0
rec_000065,user_09569,movie_0124,2024-03-30,trending,0.399,False,20,Laptop,afternoon,v1.3
rec_000066,user_09893,movie_0738,2025-12-06,personalized,0.246,False,11,Mobile,evening,v1.4
rec_000067,user_09088,movie_0140,2025-05-15,genre_based,0.365,False,6,Mobile,night,v1.3
rec_000068,user_02835,movie_0318,2024-04-17,genre_based,0.583,False,8,Smart TV,evening,v1.4
rec_000069,user_03265,movie_0172,2024-06-03,trending,0.77,False,9,Smart TV,night,v1.4
rec_000070,user_04922,movie_0931,2024-12-13,personalized,0.261,False,10,Mobile,morning,v1.3
rec_000071,user_00588,movie_0003,2024-12-19,trending,0.285,False,1,Smart TV,morning,v1.4
rec_000072,user_05256,movie_0077,2024-07-04,trending,0.336,False,7,Tablet,evening,v1.3
rec_000073,user_06552,movie_0652,2025-12-29,trending,0.538,False,13,Tablet,evening,v2.0
rec_000074,user_05473,movie_0459,2025-01-30,new_releases,0.795,False,15,Laptop,evening,v1.3
rec_000075,user_00106,movie_0575,2025-05-29,genre_based,0.734,False,16,Mobile,afternoon,v1.2
rec_000076,user_04204,movie_0988,2025-04-20,new_releases,0.125,False,4,Mobile,night,
rec_000077,user_02645,movie_0255,2025-08-18,trending,,False,14,Tablet,morning,v1.4
rec_000078,user_06262,movie_0480,2025-12-25,new_releases,0.777,False,11,Tablet,morning,v1.4
rec_000079,user_04062,movie_0380,2025-07-18,genre_based,0.515,False,13,Smart TV,night,v1.4
rec_000080,user_04633,movie_0683,2025-10-28,genre_based,0.328,False,9,Laptop,evening,v1.3
rec_000081,user_02077,movie_0498,2025-10-17,new_releases,0.526,False,13,Tablet,morning,v1.4
rec_000082,user_05215,movie_0945,2024-07-13,trending,0.983,False,13,Smart TV,morning,v1.4
rec_000083,user_07421,movie_0188,2025-09-24,genre_based,0.677,True,13,Smart TV,night,v1.3
rec_000084,user_06240,movie_0505,2025-06-19,personalized,0.891,False,18,Mobile,evening,v1.4
rec_000085,user_08943,movie_0703,2024-10-09,personalized,0.219,False,10,Mobile,night,v1.3
rec_000086,user_07574,movie_0680,2025-10-16,trending,0.218,False,13,Mobile,morning,v1.3
rec_000087,user_05539,movie_0062,2024-07-10,personalized,0.59,True,20,Laptop,afternoon,v2.0
rec_000088,user_00792,movie_0313,2024-09-04,personalized,0.776,False,1,Smart TV,morning,v1.4
rec_000089,user_05535,movie_0455,2024-09-15,similar_users,0.184,False,4,Laptop,evening,v2.0
rec_000090,user_05562,movie_0558,2024-12-28,new_releases,0.978,False,19,Tablet,night,v1.2
rec_000091,user_07951,movie_0624,2024-06-13,similar_users,0.534,False,12,Tablet,morning,v2.0
rec_000092,user_01676,movie_0886,2024-06-10,new_releases,0.392,False,1,Mobile,evening,v1.3
rec_000093,user_07553,movie_0204,2024-05-30,trending,0.736,False,5,Laptop,evening,v1.3
rec_000094,user_01451,movie_0703,2025-10-30,genre_based,0.4,False,15,Laptop,night,v1.3
rec_000095,user_05463,movie_0373,2025-10-28,similar_users,0.943,True,18,Smart TV,afternoon,v2.0
rec_000096,user_07168,movie_0395,2024-02-28,new_releases,0.884,False,5,Mobile,afternoon,v1.2
rec_000097,user_02431,movie_0596,2025-02-20,genre_based,0.442,True,4,Smart TV,night,v1.3
rec_000098,user_03196,movie_0540,2025-10-28,genre_based,0.747,False,7,Mobile,morning,v2.0
rec_000099,user_08274,movie_0355,2024-01-23,genre_based,0.188,False,9,Smart TV,morning,v2.0
rec_000100,user_02384,movie_0448,2025-11-22,trending,0.908,True,4,Tablet,night,v2.0
rec_000101,user_08014,movie_0503,2024-05-12,similar_users,0.17,True,3,Tablet,evening,
rec_000102,user_08634,movie_0359,2025-12-14,genre_based,0.725,False,5,Mobile,night,v1.3
rec_000103,user_01133,movie_0953,2024-03-11,genre_based,0.7,False,15,Mobile,afternoon,v1.4
rec_000104,user_06006,movie_0937,2024-03-18,similar_users,0.373,False,12,Mobile,night,v1.3
rec_000105,user_07391,movie_0233,2025-09-15,similar_users,0.621,False,7,Laptop,afternoon,v1.2
rec_000106,user_05205,movie_0216,2025-03-11,trending,0.615,False,1,Mobile,morning,v1.3
rec_000107,user_04009,movie_0662,2025-10-02,genre_based,,False,6,Mobile,evening,v2.0
rec_000108,user_01685,movie_0729,2025-11-22,trending,0.599,False,9,Laptop,morning,v2.0
rec_000109,user_03551,movie_0768,2024-11-10,similar_users,0.973,False,17,Tablet,night,
rec_000110,user_02755,movie_0378,2025-07-03,genre_based,0.291,True,20,Laptop,evening,v1.3
rec_000111,user_06024,movie_0944,2025-08-07,genre_based,0.14,False,18,Laptop,morning,v1.3
rec_000112,user_02625,movie_0338,2025-10-06,new_releases,0.311,True,9,Laptop,afternoon,v1.2
rec_000113,user_01359,movie_0371,2025-11-26,personalized,0.745,False,7,Mobile,afternoon,v1.3
rec_000114,user_07850,movie_0535,2025-01-30,new_releases,0.144,False,7,Tablet,evening,v1.4
rec_000115,user_01271,movie_0462,2025-07-12,new_releases,0.631,False,19,Laptop,evening,v1.4
rec_000116,user_04400,movie_0145,2024-10-19,trending,0.832,False,4,Smart TV,evening,v1.4
rec_000117,user_05081,movie_0369,2024-10-18,genre_based,0.896,False,12,Tablet,afternoon,v1.3
rec_000118,user_05300,movie_0704,2024-12-18,trending,0.612,False,1,Tablet,evening,v1.4
rec_000119,user_03727,movie_0131,2024-12-03,new_releases,0.931,False,16,Smart TV,morning,v1.3
rec_000120,user_01117,movie_0341,2024-08-20,trending,0.942,False,13,Tablet,night,v2.0
rec_000121,user_05961,movie_0563,2024-01-02,personalized,0.497,False,8,Laptop,night,v1.4
rec_000122,user_08887,movie_0570,2025-11-01,genre_based,0.244,True,12,Smart TV,evening,v1.4
rec_000123,user_02613,movie_0862,2025-10-11,similar_users,0.733,True,9,Mobile,night,v1.2
rec_000124,user_07770,movie_0673,2025-02-14,trending,0.966,False,14,Tablet,evening,v1.4
rec_000125,user_09925,movie_0424,2024-11-21,genre_based,0.906,True,11,Mobile,evening,v2.0
rec_000126,user_05104,movie_0280,2024-02-24,genre_based,0.845,False,15,Tablet,morning,v1.4
rec_000127,user_05665,movie_0676,2024-04-26,new_releases,,True,9,Laptop,afternoon,v1.3
rec_000128,user_01081,movie_0240,2024-01-19,trending,0.944,False,17,Laptop,afternoon,v1.4
rec_000129,user_04099,movie_0150,2025-01-10,personalized,0.639,True,15,Tablet,evening,v1.3
rec_000130,user_06284,movie_0096,2024-10-25,personalized,0.887,True,2,Smart TV,morning,v1.2
rec_000131,user_02788,movie_0283,2024-05-09,new_releases,0.424,False,16,Smart TV,night,v1.4
rec_000132,user_01157,movie_0389,2025-12-01,similar_users,0.258,False,12,Tablet,evening,v1.3
rec_000133,user_09247,movie_0001,2024-02-05,new_releases,0.996,False,4,Mobile,morning,v2.0
rec_000134,user_01891,movie_0646,2025-03-09,trending,0.77,False,4,Laptop,morning,v1.3
rec_000135,user_02784,movie_0415,2025-01-24,genre_based,0.175,False,16,Tablet,morning,v1.4
rec_000136,user_01555,movie_0301,2025-10-28,similar_users,0.38,True,1,Smart TV,afternoon,v2.0
rec_000137,user_09836,movie_0129,2024-07-03,personalized,0.852,False,4,Mobile,morning,v1.3
rec_000138,user_05752,movie_0195,2025-09-27,similar_users,0.903,True,5,Laptop,morning,v1.3
rec_000139,user_06318,movie_0095,2024-12-23,personalized,0.238,False,3,Smart TV,afternoon,
rec_000140,user_06700,movie_0495,2025-07-26,new_releases,0.692,False,10,Smart TV,morning,v1.2
rec_000141,user_01934,movie_0757,2024-11-05,similar_users,0.598,False,10,Laptop,night,v2.0
rec_000142,user_04210,movie_0591,2025-05-11,personalized,0.266,False,13,Laptop,morning,v1.3
rec_000143,user_06470,movie_0253,2025-01-21,trending,0.788,False,14,Tablet,morning,v1.3
rec_000144,user_06068,movie_0407,2025-06-29,similar_users,0.672,False,18,Laptop,afternoon,v1.4
rec_000145,user_05841,movie_0723,2024-01-29,personalized,0.579,False,12,Smart TV,morning,v2.0
rec_000146,user_04400,movie_0227,2024-08-03,trending,0.932,False,14,Smart TV,morning,v1.3
rec_000147,user_04280,movie_0140,2025-09-25,similar_users,0.545,False,20,Smart TV,morning,v1.4
rec_000148,user_05679,movie_0802,2025-08-14,personalized,,True,8,Tablet,afternoon,v2.0
rec_000149,user_06628,movie_0893,2024-07-23,genre_based,,False,14,Mobile,evening,v1.4
rec_000150,user_03231,movie_0086,2024-09-30,new_releases,0.732,False,8,Laptop,night,v1.4
rec_000151,user_09918,movie_0067,2024-08-05,similar_users,0.672,False,14,Smart TV,afternoon,v1.4
rec_000152,user_06844,movie_0936,2024-10-13,personalized,0.641,False,7,Mobile,evening,v1.4
rec_000153,user_02105,movie_0052,2025-07-13,genre_based,0.909,True,7,Mobile,night,v2.0
rec_000154,user_00044,movie_0659,2024-12-13,personalized,0.304,True,11,Laptop,evening,v1.3
rec_000155,user_09207,movie_0802,2025-12-11,new_releases,0.525,False,10,Mobile,morning,v1.4
rec_000156,user_09609,movie_0467,2025-09-17,trending,0.158,False,8,Laptop,evening,
rec_000157,user_00139,movie_0216,2025-09-07,similar_users,,True,20,Mobile,evening,v1.4
rec_000158,user_09626,movie_0227,2024-05-16,new_releases,0.557,False,18,Mobile,evening,v1.3
rec_000159,user_01360,movie_0678,2024-08-06,similar_users,0.783,False,12,Mobile,evening,v1.4
rec_000160,user_06730,movie_0216,2024-04-27,similar_users,0.244,False,16,Laptop,morning,v1.4
rec_000161,user_05919,movie_0269,2025-04-08,similar_users,,False,13,Laptop,afternoon,
rec_000162,user_03393,movie_0709,2025-01-17,personalized,0.19,False,20,Smart TV,afternoon,v1.4
rec_000163,user_02053,movie_0808,2025-03-08,trending,0.97,False,2,Mobile,morning,v1.4
rec_000164,user_09880,movie_0041,2025-12-20,new_releases,0.522,False,12,Mobile,morning,v2.0
rec_000165,user_02822,movie_0046,2024-03-16,genre_based,0.816,False,17,Tablet,morning,v2.0
rec_000166,user_08736,movie_0871,2024-07-18,new_releases,0.135,False,9,Laptop,evening,v1.4
rec_000167,user_08026,movie_0743,2024-10-08,trending,0.44,False,17,Smart TV,night,v2.0
rec_000168,user_07367,movie_0456,2024-11-26,similar_users,0.455,False,20,Laptop,night,
rec_000169,user_00596,movie_0336,2025-09-14,new_releases,0.685,False,10,Tablet,evening,v1.3
rec_000170,user_04955,movie_0141,2024-05-05,personalized,0.546,False,2,Laptop,night,v1.3
rec_000171,user_07365,movie_0983,2024-09-15,genre_based,0.44,False,14,Tablet,morning,v1.3
rec_000172,user_05129,movie_0889,2025-01-24,genre_based,0.383,False,2,Laptop,afternoon,v1.3
rec_000173,user_06818,movie_0051,2024-01-13,trending,0.276,False,5,Tablet,night,v1.4
rec_000174,user_00197,movie_0073,2024-07-17,personalized,0.564,False,9,Mobile,night,v1.4
rec_000175,user_04867,movie_0216,2025-08-13,trending,0.237,False,17,Smart TV,night,v2.0
rec_000176,user_02332,movie_0751,2024-03-14,trending,0.903,False,20,Tablet,morning,v1.4
rec_000177,user_01772,movie_0732,2025-02-07,trending,0.764,False,5,Mobile,night,v1.3
rec_000178,user_04851,movie_0168,2024-01-02,personalized,0.117,False,2,Smart TV,morning,v1.4
rec_000179,user_01817,movie_0029,2025-06-29,genre_based,0.136,False,4,Mobile,afternoon,v1.4
rec_000180,user_07713,movie_0831,2024-10-12,new_releases,0.743,True,4,Smart TV,evening,v1.3
rec_000181,user_03963,movie_0548,2025-04-09,genre_based,0.533,False,10,Smart TV,night,v1.3
rec_000182,user_07520,movie_0471,2024-11-10,trending,0.756,False,15,Tablet,evening,v1.4
rec_000183,user_07069,movie_0638,2024-02-10,personalized,0.845,False,17,Smart TV,morning,v1.4
rec_000184,user_01627,movie_0230,2025-03-01,new_releases,0.881,False,8,Laptop,evening,v1.3
rec_000185,user_09926,movie_0373,2024-12-23,genre_based,0.206,False,14,Laptop,morning,v1.4
rec_000186,user_05402,movie_0973,2025-08-25,new_releases,0.264,False,2,Mobile,night,v2.0
rec_000187,user_01877,movie_0607,2024-02-19,trending,0.64,False,14,Mobile,afternoon,v1.2
rec_000188,user_02637,movie_0135,2025-09-06,personalized,0.97,False,19,Smart TV,night,v1.4
rec_000189,user_00785,movie_0417,2024-01-17,trending,0.439,False,8,Tablet,morning,v1.4
rec_000190,user_03344,movie_0060,2025-06-11,trending,0.736,False,5,Mobile,afternoon,v1.3
rec_000191,user_01865,movie_0728,2025-12-23,genre_based,0.906,True,8,Laptop,afternoon,v1.2
rec_000192,user_01508,movie_0775,2025-04-10,trending,0.626,False,10,Tablet,afternoon,
rec_000193,user_02270,movie_0884,2024-01-01,personalized,0.82,False,1,Laptop,evening,v1.4
rec_000194,user_05064,movie_0837,2025-11-29,genre_based,0.791,True,7,Laptop,evening,v1.3
rec_000195,user_07654,movie_0504,2025-02-14,new_releases,0.945,False,5,Mobile,morning,v1.4
rec_000196,user_05486,movie_0195,2024-04-04,personalized,0.139,False,6,Tablet,morning,
rec_000197,user_06496,movie_0953,2024-12-26,similar_users,0.574,False,19,Mobile,morning,v1.2
rec_000198,user_09981,movie_0784,2025-07-14,trending,0.987,False,5,Smart TV,evening,v1.3
rec_000199,user_02106,movie_0557,2024-06-03,genre_based,0.337,False,18,Mobile,night,v2.0
rec_000200,user_09014,movie_0579,2025-02-21,new_releases,0.163,False,8,Mobile,evening,v2.0
rec_000201,user_01986,movie_0232,2024-12-22,genre_based,0.107,False,11,Smart TV,evening,
rec_000202,user_06405,movie_0054,2024-02-14,personalized,0.859,False,2,Mobile,afternoon,
rec_000203,user_04939,movie_0496,2024-10-26,personalized,0.719,False,16,Smart TV,afternoon,v1.4
rec_000204,user_05746,movie_0983,2025-10-24,trending,,False,18,Smart TV,night,v1.4
rec_000205,user_00898,movie_0271,2024-11-02,genre_based,0.16,False,8,Smart TV,evening,v1.3
rec_000206,user_02759,movie_0364,2024-02-25,new_releases,0.233,False,20,Smart TV,afternoon,v1.4
rec_000207,user_08238,movie_0404,2025-04-18,personalized,0.505,False,12,Mobile,evening,v1.4
rec_000208,user_08891,movie_0389,2025-08-19,personalized,0.921,False,20,Mobile,evening,v1.3
rec_000209,user_05755,movie_0426,2024-08-17,new_releases,0.685,False,5,Tablet,night,v1.2
rec_000210,user_00993,movie_0576,2025-10-24,new_releases,0.487,True,11,Laptop,morning,v1.4
rec_000211,user_05072,movie_0354,2024-02-21,trending,0.609,True,6,Mobile,afternoon,v2.0
rec_000212,user_00121,movie_0682,2024-03-05,personalized,0.278,True,10,Smart TV,night,v1.3
rec_000213,user_05887,movie_0012,2024-08-27,personalized,0.226,False,11,Mobile,evening,v1.4
rec_000214,user_00031,movie_0178,2024-07-10,trending,0.573,True,10,Tablet,night,v1.3
rec_000215,user_00317,movie_0356,2025-06-15,trending,0.793,True,1,Smart TV,morning,v1.4
rec_000216,user_05836,movie_0544,2024-07-20,genre_based,,True,16,Smart TV,evening,v1.3
rec_000217,user_09289,movie_0618,2024-01-22,new_releases,0.446,True,14,Laptop,afternoon,v1.4
rec_000218,user_09999,movie_0948,2025-05-17,genre_based,,True,9,Tablet,night,v2.0
rec_000219,user_06213,movie_0486,2024-06-19,trending,0.147,False,13,Smart TV,afternoon,v2.0
rec_000220,user_09879,movie_0372,2025-03-12,similar_users,0.437,False,19,Tablet,evening,v1.2
rec_000221,user_06995,movie_0272,2024-07-12,genre_based,0.267,False,9,Smart TV,morning,v1.4
rec_000222,user_07209,movie_0952,2024-07-22,genre_based,0.767,False,3,Tablet,night,v1.3
rec_000223,user_00746,movie_0149,2025-06-02,new_releases,0.493,False,20,Smart TV,night,v1.4
rec_000224,user_02601,movie_0345,2025-11-29,trending,0.664,False,14,Smart TV,afternoon,v1.3
rec_000225,user_01113,movie_0183,2025-04-15,trending,0.476,False,2,Smart TV,night,v1.2
rec_000226,user_08395,movie_0501,2024-01-20,trending,0.423,False,17,Tablet,night,v1.4
rec_000227,user_08829,movie_0208,2024-06-04,genre_based,0.152,False,2,Tablet,afternoon,v1.4
rec_000228,user_08442,movie_0914,2024-03-23,trending,0.584,False,2,Mobile,night,v1.3
rec_000229,user_01045,movie_0043,2025-04-03,personalized,,True,12,Tablet,morning,v2.0
rec_000230,user_03141,movie_0297,2024-12-03,genre_based,0.683,False,14,Laptop,morning,v1.3
rec_000231,user_07974,movie_0700,2024-04-16,personalized,0.801,False,5,Smart TV,afternoon,v1.4
rec_000232,user_08813,movie_0195,2025-05-29,genre_based,0.219,False,4,Tablet,morning,v1.4
rec_000233,user_00940,movie_0403,2024-11-25,personalized,0.729,False,10,Tablet,afternoon,v1.4
rec_000234,user_03235,movie_0501,2025-11-12,similar_users,0.711,False,15,Mobile,afternoon,v1.3
rec_000235,user_07484,movie_0328,2025-09-02,genre_based,0.286,True,17,Smart TV,evening,v1.4
rec_000236,user_03435,movie_0367,2025-02-21,personalized,0.748,False,4,Smart TV,night,v1.4
rec_000237,user_07310,movie_0067,2025-08-10,genre_based,0.305,False,18,Laptop,morning,v1.3
rec_000238,user_08674,movie_0642,2025-01-02,new_releases,0.563,False,15,Mobile,morning,v2.0
rec_000239,user_01337,movie_0558,2025-05-10,new_releases,0.263,False,17,Smart TV,afternoon,v1.4
rec_000240,user_08331,movie_0070,2024-04-28,similar_users,0.837,False,12,Smart TV,night,v1.3
rec_000241,user_03281,movie_0729,2025-05-22,similar_users,0.629,False,8,Laptop,morning,v1.4
rec_000242,user_01677,movie_0779,2024-09-07,genre_based,0.974,False,14,Mobile,afternoon,v1.4
rec_000243,user_01348,movie_0956,2024-04-21,similar_users,0.845,False,20,Laptop,night,v1.2
rec_000244,user_02941,movie_0868,2024-10-23,similar_users,,False,1,Smart TV,night,v1.2
rec_000245,user_07615,movie_0124,2024-02-29,genre_based,0.459,False,17,Mobile,morning,v1.3
rec_000246,user_07406,movie_0665,2024-09-10,similar_users,0.595,False,5,Tablet,afternoon,v1.3
rec_000247,user_01616,movie_0294,2024-05-21,new_releases,0.539,False,3,Tablet,evening,v1.3
rec_000248,user_08899,movie_0337,2024-07-17,genre_based,0.22,False,9,Mobile,morning,v2.0
rec_000249,user_05162,movie_0259,2024-09-04,similar_users,0.759,False,19,Tablet,night,v1.4
rec_000250,user_06987,movie_0807,2024-03-07,similar_users,0.369,False,6,Smart TV,evening,v1.4
rec_000251,user_00202,movie_0659,2024-06-20,trending,0.774,False,9,Laptop,morning,v2.0
rec_000252,user_04680,movie_0579,2024-11-18,trending,0.982,True,5,Mobile,afternoon,v1.4
rec_000253,user_00075,movie_0539,2024-06-10,trending,0.865,True,13,Laptop,night,v1.4
rec_000254,user_00377,movie_0878,2024-02-26,similar_users,0.18,True,17,Smart TV,night,v1.3
rec_000255,user_00238,movie_0893,2025-07-20,similar_users,0.624,False,6,Mobile,evening,v1.4
rec_000256,user_09724,movie_0682,2024-04-17,personalized,0.208,False,7,Mobile,morning,v1.2
rec_000257,user_04561,movie_0355,2024-02-19,new_releases,,False,7,Mobile,morning,v1.4
rec_000258,user_04090,movie_0095,2025-09-21,new_releases,0.278,False,11,Laptop,evening,v1.4
rec_000259,user_01084,movie_0296,2025-01-02,trending,,False,20,Laptop,afternoon,v1.3
rec_000260,user_03020,movie_0621,2025-11-30,personalized,0.553,False,20,Tablet,night,v1.3
rec_000261,user_03398,movie_0190,2024-01-13,new_releases,0.901,False,4,Laptop,morning,v1.4
rec_000262,user_02654,movie_0515,2024-10-02,trending,0.97,False,11,Laptop,evening,v1.4
rec_000263,user_08569,movie_0356,2025-01-10,new_releases,0.696,True,8,Tablet,evening,v1.4
rec_000264,user_05900,movie_0332,2024-06-19,personalized,0.441,False,12,Smart TV,night,v1.4
rec_000265,user_03187,movie_0093,2025-10-12,personalized,0.586,False,15,Laptop,evening,v1.3
rec_000266,user_00180,movie_0024,2024-02-20,genre_based,0.177,False,8,Smart TV,afternoon,v1.4
rec_000267,user_01200,movie_0315,2024-06-21,new_releases,0.371,False,12,Tablet,evening,v1.4
rec_000268,user_02620,movie_0871,2024-11-03,personalized,0.588,False,1,Smart TV,evening,v2.0
rec_000269,user_06108,movie_0734,2025-07-16,trending,0.292,False,2,Mobile,morning,v2.0
rec_000270,user_06084,movie_0001,2025-12-12,personalized,0.584,False,15,Smart TV,evening,v1.4
rec_000271,user_02387,movie_0034,2025-11-22,similar_users,,False,17,Smart TV,afternoon,v1.2
rec_000272,user_03089,movie_0973,2024-03-03,new_releases,0.652,True,3,Tablet,night,v1.4
rec_000273,user_01711,movie_0885,2024-09-24,similar_users,0.714,False,16,Mobile,evening,v1.4
rec_000274,user_01190,movie_0346,2025-08-28,new_releases,0.622,False,1,Smart TV,morning,v2.0
rec_000275,user_07295,movie_0318,2024-03-03,genre_based,,False,5,Laptop,morning,v1.4
rec_000276,user_00652,movie_0308,2024-11-13,new_releases,0.575,True,13,Mobile,morning,v1.3
rec_000277,user_07473,movie_0986,2024-12-09,trending,0.656,False,5,Smart TV,night,v1.2
rec_000278,user_05329,movie_0905,2024-04-12,trending,0.828,False,8,Tablet,morning,v1.2
rec_000279,user_07713,movie_0113,2024-03-11,trending,0.489,False,7,Smart TV,morning,v1.4
rec_000280,user_05116,movie_0361,2025-03-03,new_releases,0.952,False,4,Tablet,afternoon,v2.0
